tweet_id,favorites,retweets,user_followers,user_favourites,date_time
748699167502000129,4703,1567,8822107,145808,2016-07-01 02:06:06+00:00
748692773788876800,4212,1320,8822107,145808,2016-07-01 01:40:41+00:00
748575535303884801,6022,1957,8822107,145808,2016-06-30 17:54:50+00:00
748568946752774144,2183,665,8822107,145808,2016-06-30 17:28:39+00:00
748346686624440324,5172,1218,8822107,145808,2016-06-30 02:45:28+00:00
748337862848962560,7569,4054,8822107,145808,2016-06-30 02:10:24+00:00
748324050481647620,3648,751,8822107,145808,2016-06-30 01:15:31+00:00
748307329658011649,3641,703,8822107,145808,2016-06-30 00:09:04+00:00
748220828303695873,14011,7698,8822108,145808,2016-06-29 18:25:21+00:00
747963614829678593,5724,2112,8822108,145808,2016-06-29 01:23:16+00:00
747933425676525569,6545,2507,8822108,145808,2016-06-28 23:23:19+00:00
747885874273214464,2913,958,8822108,145808,2016-06-28 20:14:22+00:00
747844099428986880,2794,744,8822108,145808,2016-06-28 17:28:22+00:00
747816857231626240,4804,1146,8822108,145808,2016-06-28 15:40:07+00:00
747651430853525504,1373,153,8822108,145808,2016-06-28 04:42:46+00:00
747648653817413632,12762,5782,8822108,145808,2016-06-28 04:31:44+00:00
747600769478692864,2308,552,8822108,145808,2016-06-28 01:21:27+00:00
747594051852075008,3640,1046,8822108,145808,2016-06-28 00:54:46+00:00
747512671126323200,5477,1594,8822108,145808,2016-06-27 19:31:23+00:00
747461612269887489,3831,1031,8822108,145808,2016-06-27 16:08:30+00:00
747439450712596480,5369,1892,8822108,145808,2016-06-27 14:40:26+00:00
747242308580548608,0,2878,8822108,145808,2016-06-27 01:37:04+00:00
747219827526344708,5202,1548,8822108,145808,2016-06-27 00:07:44+00:00
747204161125646336,3345,915,8822108,145808,2016-06-26 23:05:29+00:00
747103485104099331,9468,3925,8822108,145808,2016-06-26 16:25:26+00:00
746906459439529985,2872,293,8822108,145808,2016-06-26 03:22:31+00:00
746872823977771008,5917,2108,8822108,145808,2016-06-26 01:08:52+00:00
746818907684614144,5268,1719,8822108,145808,2016-06-25 21:34:37+00:00
746790600704425984,4815,1583,8822108,145808,2016-06-25 19:42:08+00:00
746757706116112384,9485,3864,8822108,145808,2016-06-25 17:31:25+00:00
746726898085036033,5979,1777,8822108,145808,2016-06-25 15:29:00+00:00
746542875601690625,4987,1859,8822108,145808,2016-06-25 03:17:46+00:00
746521445350707200,0,975,8822108,145808,2016-06-25 01:52:36+00:00
746507379341139972,4611,1071,8822108,145808,2016-06-25 00:56:43+00:00
746369468511756288,6125,1615,8822108,145808,2016-06-24 15:48:42+00:00
746131877086527488,6839,2170,8822108,145808,2016-06-24 00:04:36+00:00
746056683365994496,3522,802,8822108,145808,2016-06-23 19:05:49+00:00
745789745784041472,3976,1053,8822108,145808,2016-06-23 01:25:06+00:00
745712589599014916,6923,2299,8822108,145808,2016-06-22 20:18:30+00:00
745433870967832576,7006,2506,8822108,145808,2016-06-22 01:50:58+00:00
745422732645535745,8484,2405,8822108,145808,2016-06-22 01:06:43+00:00
745314880350101504,7099,2722,8822108,145808,2016-06-21 17:58:09+00:00
745074613265149952,7744,3436,8822108,145808,2016-06-21 02:03:25+00:00
